feature_id,year,Drought_Days_SSI_1.0,Drought_Days_SSI_1.5,Drought_Days_SSI_2.0
AADAN,2000,0,0,0
AADAN,2001,0,0,0
AADAN,2002,0,0,0
AADAN,2003,0,0,0
AADAN,2004,0,0,0
AADAN,2005,0,0,0
AADAN,2006,0,0,0
AADAN,2007,0,0,0
AADAN,2008,26,21,0
AADAN,2009,61,22,0
AADAN,2010,0,0,0
AADAN,2011,2,0,0
AADAN,2012,0,0,0
AADAN,2013,0,0,0
AADAN,2014,5,0,0
AADAN,2015,0,0,0
AADAN,2016,0,0,0
AADAN,2017,0,0,0
AADAN,2018,0,0,0
AADAN,2019,0,0,0
AADAN,2020,0,0,0
AADAN,2021,64,60,0
AADAN,2022,64,48,0
AADAN,2023,62,37,0
AADAN,2024,0,0,0
AADAN,2025,0,0,0
ABAJI,2000,0,0,0
ABAJI,2001,0,0,0
ABAJI,2002,7,0,0
ABAJI,2003,5,4,0
ABAJI,2004,0,0,0
ABAJI,2005,0,0,0
ABAJI,2006,0,0,0
ABAJI,2007,0,0,0
ABAJI,2008,0,0,0
ABAJI,2009,6,0,0
ABAJI,2010,0,0,0
ABAJI,2011,0,0,0
ABAJI,2012,0,0,0
ABAJI,2013,0,0,0
ABAJI,2014,0,0,0
ABAJI,2015,26,11,4
ABAJI,2016,0,0,0
ABAJI,2017,0,0,0
ABAJI,2018,0,0,0
ABAJI,2019,0,0,0
ABAJI,2020,4,0,0
ABAJI,2021,42,38,28
ABAJI,2022,18,12,6
ABAJI,2023,0,0,0
ABAJI,2024,42,29,19
ABAJI,2025,25,12,1
ABAKALIKI,2000,18,7,0
ABAKALIKI,2001,0,0,0
ABAKALIKI,2002,2,0,0
ABAKALIKI,2003,30,14,7
ABAKALIKI,2004,1,0,0
ABAKALIKI,2005,2,2,0
ABAKALIKI,2006,29,4,0
ABAKALIKI,2007,1,0,0
ABAKALIKI,2008,2,0,0
ABAKALIKI,2009,2,2,0
ABAKALIKI,2010,22,7,0
ABAKALIKI,2011,16,1,0
ABAKALIKI,2012,0,0,0
ABAKALIKI,2013,3,0,0
ABAKALIKI,2014,2,0,0
ABAKALIKI,2015,18,15,10
ABAKALIKI,2016,6,4,0
ABAKALIKI,2017,1,0,0
ABAKALIKI,2018,2,1,0
ABAKALIKI,2019,5,1,1
ABAKALIKI,2020,6,2,0
ABAKALIKI,2021,49,35,30
ABAKALIKI,2022,32,22,11
ABAKALIKI,2023,32,10,5
ABAKALIKI,2024,55,35,22
ABAKALIKI,2025,47,28,12
ABIDJAN,2000,40,38,29
ABIDJAN,2001,9,6,1
ABIDJAN,2002,14,3,0
ABIDJAN,2003,29,14,2
ABIDJAN,2004,39,23,10
ABIDJAN,2005,11,5,0
ABIDJAN,2006,5,0,0
ABIDJAN,2007,18,9,1
ABIDJAN,2008,2,0,0
ABIDJAN,2009,4,1,0
ABIDJAN,2010,4,0,0
ABIDJAN,2011,7,3,0
ABIDJAN,2012,2,1,1
ABIDJAN,2013,7,5,4
ABIDJAN,2014,3,1,0
ABIDJAN,2015,6,3,2
ABIDJAN,2016,6,2,0
ABIDJAN,2017,3,0,0
ABIDJAN,2018,1,0,0
ABIDJAN,2019,9,4,3
ABIDJAN,2020,12,3,1
ABIDJAN,2021,19,12,9
ABIDJAN,2022,7,1,0
ABIDJAN,2023,17,13,6
ABIDJAN,2024,42,33,26
ABIDJAN,2025,27,16,5
ABU AL-MATAMIR,2000,0,0,0
ABU AL-MATAMIR,2001,0,0,0
ABU AL-MATAMIR,2002,0,0,0
ABU AL-MATAMIR,2003,0,0,0
ABU AL-MATAMIR,2004,0,0,0
ABU AL-MATAMIR,2005,0,0,0
ABU AL-MATAMIR,2006,0,0,0
ABU AL-MATAMIR,2007,0,0,0
ABU AL-MATAMIR,2008,0,0,0
ABU AL-MATAMIR,2009,19,0,0
ABU AL-MATAMIR,2010,19,0,0
ABU AL-MATAMIR,2011,19,0,0
ABU AL-MATAMIR,2012,0,0,0
ABU AL-MATAMIR,2013,0,0,0
ABU AL-MATAMIR,2014,0,0,0
ABU AL-MATAMIR,2015,15,0,0
ABU AL-MATAMIR,2016,0,0,0
ABU AL-MATAMIR,2017,0,0,0
ABU AL-MATAMIR,2018,0,0,0
ABU AL-MATAMIR,2019,0,0,0
ABU AL-MATAMIR,2020,0,0,0
ABU AL-MATAMIR,2021,0,0,0
ABU AL-MATAMIR,2022,0,0,0
ABU AL-MATAMIR,2023,0,0,0
ABU AL-MATAMIR,2024,0,0,0
ABU AL-MATAMIR,2025,0,0,0
ABU HAMMAD,2000,0,0,0
ABU HAMMAD,2001,0,0,0
ABU HAMMAD,2002,0,0,0
ABU HAMMAD,2003,0,0,0
ABU HAMMAD,2004,0,0,0
ABU HAMMAD,2005,0,0,0
ABU HAMMAD,2006,0,0,0
ABU HAMMAD,2007,0,0,0
ABU HAMMAD,2008,0,0,0
ABU HAMMAD,2009,19,0,0
ABU HAMMAD,2010,19,0,0
ABU HAMMAD,2011,0,0,0
ABU HAMMAD,2012,0,0,0
ABU HAMMAD,2013,0,0,0
ABU HAMMAD,2014,0,0,0
ABU HAMMAD,2015,19,0,0
ABU HAMMAD,2016,0,0,0
ABU HAMMAD,2017,0,0,0
ABU HAMMAD,2018,19,0,0
ABU HAMMAD,2019,0,0,0
ABU HAMMAD,2020,0,0,0
ABU HAMMAD,2021,0,0,0
ABU HAMMAD,2022,0,0,0
ABU HAMMAD,2023,0,0,0
ABU HAMMAD,2024,0,0,0
ABU HAMMAD,2025,19,0,0
ABU HUMMUS,2000,0,0,0
ABU HUMMUS,2001,0,0,0
ABU HUMMUS,2002,0,0,0
ABU HUMMUS,2003,0,0,0
ABU HUMMUS,2004,0,0,0
ABU HUMMUS,2005,0,0,0
ABU HUMMUS,2006,0,0,0
ABU HUMMUS,2007,0,0,0
ABU HUMMUS,2008,0,0,0
ABU HUMMUS,2009,0,0,0
ABU HUMMUS,2010,19,0,0
ABU HUMMUS,2011,0,0,0
ABU HUMMUS,2012,0,0,0
ABU HUMMUS,2013,0,0,0
ABU HUMMUS,2014,0,0,0
ABU HUMMUS,2015,0,0,0
ABU HUMMUS,2016,0,0,0
ABU HUMMUS,2017,0,0,0
ABU HUMMUS,2018,0,0,0
ABU HUMMUS,2019,0,0,0
ABU HUMMUS,2020,0,0,0
ABU HUMMUS,2021,0,0,0
ABU HUMMUS,2022,0,0,0
ABU HUMMUS,2023,0,0,0
ABU HUMMUS,2024,0,0,0
ABU HUMMUS,2025,19,19,19
ABU KABIR,2000,0,0,0
ABU KABIR,2001,0,0,0
ABU KABIR,2002,0,0,0
ABU KABIR,2003,0,0,0
ABU KABIR,2004,0,0,0
ABU KABIR,2005,0,0,0
ABU KABIR,2006,19,0,0
ABU KABIR,2007,0,0,0
ABU KABIR,2008,0,0,0
ABU KABIR,2009,0,0,0
ABU KABIR,2010,0,0,0
ABU KABIR,2011,0,0,0
ABU KABIR,2012,0,0,0
ABU KABIR,2013,0,0,0
ABU KABIR,2014,0,0,0
ABU KABIR,2015,0,0,0
ABU KABIR,2016,0,0,0
ABU KABIR,2017,0,0,0
