ADM_NAME,cluster,year,Drought_Days
AADAN,2,2000,0.0
ABAJI,0,2000,0.0
ABAKALIKI,0,2000,18.0
ABIDJAN,0,2000,40.0
ABU AL-MATAMIR,0,2000,0.0
ABU HAMMAD,0,2000,0.0
ABU HUMMUS,0,2000,0.0
ABU KABIR,0,2000,0.0
ABU QURQAS,0,2000,0.0
ABU TIJ,0,2000,0.0
ABU TISHT,0,2000,0.0
ABUJA,0,2000,0.0
AD-DILINAT,0,2000,0.0
ADA WEST,0,2000,7.0
ADAKLU,0,2000,22.0
ADO,0,2000,24.0
AFGOOYE,2,2000,7.0
AFIJIO,0,2000,33.0
AGAGO,0,2000,25.0
AGAIE,0,2000,0.0
AGATU,0,2000,10.0
AGBANGNIZOUN,0,2000,25.0
AGEW AWI,0,2000,0.0
AGNÉBY-TIASSA,0,2000,43.0
AGOTIME ZIOPE,0,2000,18.0
AGWARA,0,2000,0.0
AINABKOI,0,2000,4.0
AINAMOI,0,2000,18.0
AJA,0,2000,0.0
AJAOKUTA,0,2000,11.0
AJINGI,0,2000,6.0
AKATSI NORTH,0,2000,20.0
AKATSI SOUTH,0,2000,27.0
AKHMIM,0,2000,0.0
AKKO,0,2000,0.0
AL RENK,0,2000,0.0
AL-'AMRIYAH,0,2000,0.0
AL-'AYYAT,0,2000,0.0
AL-'IDWAH,0,2000,19.0
AL-'USAYRAT,0,2000,0.0
AL-BADARI,0,2000,0.0
AL-BAJUR,0,2000,19.0
AL-BALIYANA,0,2000,0.0
AL-BURULUS,0,2000,0.0
AL-FASHN,0,2000,19.0
AL-FAYYUM,0,2000,19.0
AL-GANOUB,0,2000,0.0
AL-GANOUB 2,0,2000,17.0
AL-GHANAYIM,0,2000,0.0
AL-HAMUL,0,2000,0.0
AL-HUSAYNIYAH,0,2000,0.0
AL-IBRAHIMIYAH,0,2000,0.0
AL-MAHALLAH AL-KUBRA,0,2000,0.0
AL-MAHMUDIYAH,0,2000,0.0
AL-MANSHAH,0,2000,0.0
AL-MANSURAH,0,2000,0.0
AL-MANSURAH 2,0,2000,0.0
AL-MANZILAH,0,2000,0.0
AL-MARAGHAH,0,2000,0.0
AL-MATARIYAH,0,2000,0.0
AL-MINYA,0,2000,0.0
AL-QANATIR AL-KHAYRIYAH,0,2000,19.0
AL-QANAYAT,0,2000,0.0
AL-QANTARAH,0,2000,0.0
AL-QANTARAH ASH-SHARQIYAH,0,2000,0.0
AL-QUSIYAH,0,2000,0.0
AL-WAQF,0,2000,0.0
AL-WARRAQ,0,2000,0.0
AL-WASTA,0,2000,0.0
ALABA,0,2000,0.0
ALAOTRA-MANGORO,2,2000,41.0
ALBASU,0,2000,0.0
ALDAI,0,2000,6.0
ALEGO USONGA,0,2000,4.0
ALEIRO,0,2000,0.0
ALIAB,0,2000,0.0
ALKALERI,0,2000,0.0
ALTO MOLOCUE,1,2000,0.0
AMATONGE,0,2000,4.0
AMBOIM,2,2000,22.0
AMORON'I MANIA,2,2000,2.0
AMOU,0,2000,17.0
AMURIA,2,2000,49.0
ANALAMANGA,2,2000,30.0
ANAMULENGE,1,2000,26.0
ANCUABE,2,2000,2.0
ANDROY,2,2000,5.0
ANGOCHE,2,2000,0.0
ANGÓNIA,2,2000,0.0
ANIÉ,0,2000,17.0
ANKA,0,2000,0.0
ANOSY,2,2000,4.0
APA,0,2000,12.0
APLAHOUÉ,0,2000,21.0
AR-RAHMANIYAH,0,2000,0.0
AR-RIYAD,0,2000,0.0
ARDO-KOLA,0,2000,0.0
AREWA DANDI,0,2000,0.0
ARGUNGU,0,2000,0.0
ARINGA,0,2000,18.0
ARSI,0,2000,0.0
ARUU,0,2000,26.0
ARYAT,0,2000,0.0
AS-SANTAH,0,2000,0.0
AS-SINBILLAWAYN,0,2000,0.0
ASA,0,2000,15.0
ASANTE-AKIM NORTH,0,2000,32.0
ASH-SHUHADA,0,2000,19.0
ASHMUN,0,2000,19.0
ASKIRA/UBA,0,2000,0.0
ASUOGYAMAN,0,2000,24.0
ASWA,0,2000,15.0
AT-TALL AL-KABIR,0,2000,0.0
ATEBUBU-AMANTIN,0,2000,38.0
ATIBA,0,2000,45.0
ATSIMO-ANDREFANA,2,2000,0.0
AUGIE,0,2000,0.0
AUYO,0,2000,0.0
AWE,0,2000,0.0
AWEIL,0,2000,0.0
AWENDO,0,2000,26.0
AWLAD SAQR,0,2000,0.0
AWUTU SENYA WEST,0,2000,36.0
AYIVU,0,2000,22.0
BABATI,2,2000,0.0
BABURA,0,2000,0.0
BADE,0,2000,0.0
BADR,0,2000,0.0
BAFOULABÉ,0,2000,0.0
BAGAMOYO,2,2000,0.0
BAGOUÉ,0,2000,3.0
BAGUDO,0,2000,0.0
BAGUIRMI,0,2000,0.0
BAGWAI,0,2000,3.0
BAHATI,0,2000,19.0
BAHI,2,2000,14.0
BAHR AL JABAL,0,2000,0.0
BAILUNDO,2,2000,0.0
BAKORI,0,2000,0.0
BAKURA,0,2000,0.0
BALAMA,2,2000,1.0
BALANGA,0,2000,0.0
BALCAD,2,2000,2.0
BALE,0,2000,0.0
BALI,0,2000,0.0
BALÉ,0,2000,0.0
BAM,0,2000,0.0
BAMA,0,2000,0.0
BAMBOUTOS,0,2000,0.0
BAMUNANIKA,2,2000,16.0
BANAMBA,0,2000,0.0
BANGASSOU,0,2000,0.0
BANHA,0,2000,19.0
BANI MAZAR,0,2000,19.0
BANI SUWAYF,0,2000,0.0
BANI UBAYD,0,2000,0.0
BANIKOARA,0,2000,0.0
BANKASS,0,2000,0.0
BANTÈ,0,2000,4.0
BANWA,0,2000,0.0
BARAAWE,2,2000,10.0
BARH KÖH,0,2000,0.0
BARH SARA,0,2000,0.0
BARIADI,2,2000,76.0
BARINGO NORTH,0,2000,12.0
BARINGO SOUTH,0,2000,20.0
BAROLONG,1,2000,0.0
BAROUÉLI,0,2000,1.0
BARUE,1,2000,10.0
BARUTEN,0,2000,44.0
BAS-MONO,0,2000,12.0
BASSA,0,2000,0.0
BASSAR,0,2000,0.0
BASSILA,0,2000,36.0
BASYUN,0,2000,0.0
BATAGARAWA,0,2000,0.0
BATANGAFO,0,2000,0.0
BATHA EST,0,2000,0.0
BATHA OUES,0,2000,0.0
BATSARI,0,2000,4.0
BAUCHI,0,2000,0.0
BAURE,0,2000,0.0
BAWKU,0,2000,0.0
BAWKU WEST,0,2000,0.0
BAYDHABO,2,2000,7.0
BAYO,0,2000,0.0
BAZÈGA,0,2000,0.0
BBAALE,2,2000,27.0
BEBEJI,0,2000,0.0
BELGUT,0,2000,18.0
BEMBÈRÈKÈ,0,2000,15.0
BENCH MAJI,0,2000,0.0
BERBÉRATI,0,2000,0.0
BETSIBOKA,2,2000,24.0
BEYLA,0,2000,4.0
BIBA,0,2000,0.0
BIBALA,2,2000,15.0
BICHI,0,2000,4.0
BIDA,0,2000,0.0
BIHARAMULO,2,2000,85.0
BIKITA,1,2000,0.0
BILBAYS,0,2000,19.0
BILENE,1,2000,11.0
BILLIRI,0,2000,0.0
BILQAS,0,2000,0.0
BIMBO,0,2000,0.0
BINDAWA,0,2000,3.0
BINDURA,1,2000,0.0
BINDURI,0,2000,0.0
BINGA,1,2000,1.0
BINJI,0,2000,0.0
BIRINIWA,0,2000,0.0
BIRKAT AS-SAB',0,2000,19.0
BIRNIN GWARI,0,2000,2.0
BIRNIN KEBBI,0,2000,0.0
BIRNIN KUDU,0,2000,0.0
BIRNIN-MAGAJI/KIYAW,0,2000,0.0
BISORO,2,2000,34.0
BIYALA,0,2000,0.0
BLA,0,2000,0.0
BLANTYRE CITY,1,2000,4.0
BLITTA,0,2000,9.0
BOANE,1,2000,6.0
BOBASI,0,2000,26.0
BOBONONG,1,2000,0.0
BOCARANGA,0,2000,3.0
BOCOIO,2,2000,16.0
BOENY,2,2000,2.0
BOFFA,0,2000,0.0
BOJANALA,1,2000,25.0
BOKKOS,0,2000,0.0
BOKORA,0,2000,33.0
BOLE,0,2000,0.0
BOLGA EAST,0,2000,0.0
BOLGATANGA,0,2000,0.0
BOMACHOGE BORABU,0,2000,26.0
BOMACHOGE CHACHE,0,2000,26.0
BOMET CENTRAL,0,2000,26.0
BOMET EAST,0,2000,26.0
BONCHARI,0,2000,26.0
BONDO,0,2000,26.0
BONGO,0,2000,0.0
BONGOLAVA,2,2000,7.0
BORABU,0,2000,26.0
BORENA,0,2000,0.0
BORGU,0,2000,0.0
BORSARI,0,2000,0.0
BOSSO,0,2000,0.0
BOUAR,0,2000,1.0
BOUGOUNI,0,2000,2.0
BOUKOUMBÉ,0,2000,0.0
BOULGOU,0,2000,0.0
BOULKIEMDÉ,0,2000,0.0
BOUNKANI,0,2000,0.0
BOZOUM,0,2000,1.0
BUBANZA,2,2000,75.0
BUBULO,2,2000,9.0
BUDAKA,2,2000,64.0
BUDALANGI,0,2000,12.0
BUDIOPE,2,2000,44.0
BUGABIRA,2,2000,55.0
BUGABULA,2,2000,23.0
BUGAHYA,2,2000,46.0
BUGANDA,2,2000,81.0
BUGANGAIZI,2,2000,23.0
BUGARAMA,2,2000,21.0
BUGENDANA,2,2000,72.0
BUGENYUZI,2,2000,72.0
BUGESERA,2,2000,75.0
BUGWERI,2,2000,16.0
BUHAGUZI,2,2000,55.0
BUHERA,1,2000,18.0
BUHIGA,2,2000,73.0
BUHWEJU,2,2000,32.0
BUIKWE,2,2000,2.0
BUILSA NORTH,0,2000,0.0
BUILSA SOUTH,0,2000,0.0
BUJENJE,2,2000,40.0
BUJENJE (?),2,2000,51.0
BUJI,0,2000,0.0
BUKAMA,2,2000,0.0
BUKANGA,2,2000,18.0
BUKEDEA,2,2000,85.0
BUKEMBA,2,2000,73.0
BUKEYE,2,2000,66.0
BUKINANYANA,2,2000,74.0
BUKIRASAZI,2,2000,72.0
BUKKUYUM,0,2000,0.0
BUKOMBE,2,2000,78.0
BUKOOLI,2,2000,21.0
BUKOTO,2,2000,21.0
BUKURU,0,2000,9.0
BULAMOGI,2,2000,32.0
BULILIMA,1,2000,0.0
BUMULA,0,2000,14.0
BUNDA,2,2000,75.0
BUNGOKHO,2,2000,9.0
BUNGUDU,0,2000,0.0
BUNKPURUGU NAKPANDURI,0,2000,0.0
BUNKURE,0,2000,0.0
BUNYA,2,2000,10.0
BUNYOLE,2,2000,18.0
BUNZA,0,2000,0.0
BURAMBI,2,2000,20.0
BURAZA,2,2000,73.0
BURERA,2,2000,65.0
BURETI,0,2000,26.0
BURJ AL-'ARAB,0,2000,0.0
BURULI,2,2000,63.0
BURURI,2,2000,59.0
BUSEGA,2,2000,76.0
BUSIGA,2,2000,76.0
BUSIIRO,2,2000,5.0
BUSIKI,2,2000,12.0
BUSONGORA,2,2000,77.0
BUSONI,2,2000,73.0
BUTAGANZWA1,2,2000,68.0
BUTAGANZWA2,2,2000,73.0
BUTEBO,2,2000,41.0
BUTERE,0,2000,8.0
BUTIAMA,2,2000,69.0
BUTIHINDA,2,2000,72.0
BUTULA,0,2000,26.0
BUUR XAKABA,2,2000,8.0
BUURI,2,2000,70.0
BUWEKULA,2,2000,22.0
BUYAGA,2,2000,81.0
