ADM_NAME,cluster,pearson_r,pearson_p
AADAN,3,-0.11638804892853946,0.5712525823074696
ABAJI,1,0.07979409570172773,0.6984008296434796
ABAKALIKI,1,-0.053833924779676925,0.793946602744914
ABIDJAN,1,0.0222143248626986,0.9142230023848863
ABU AL-MATAMIR,1,0.06747312208681196,0.7432900178503181
ABU HAMMAD,1,0.21852941528067826,0.2834892845020165
ABU HUMMUS,1,-0.17035125464285086,0.4054025710313067
ABU KABIR,1,-0.026195523119608217,0.8989216100014812
ABU QURQAS,1,,
ABU TIJ,1,,
ABU TISHT,1,,
ABUJA,1,0.17602360198658454,0.3897061710392622
AD-DILINAT,1,0.10758176143745912,0.6009011872922505
ADA WEST,1,-0.17787239961835896,0.3846660378414006
ADAKLU,1,-0.24017035467729786,0.2372851163283013
ADO,1,-0.1979661211069657,0.3323317526964581
AFGOOYE,3,-0.07268638316318196,0.7241869500023639
AFIJIO,1,-0.12482709307584246,0.5434685618094699
AGAGO,1,-0.09847374558002528,0.6322297557447706
AGAIE,1,0.18299814346952029,0.3708889869774206
AGATU,1,0.14902646584766838,0.46747760232787317
AGBANGNIZOUN,1,-0.1825432143483812,0.37210002056490726
AGEW AWI,1,-0.10596756025084239,0.6064054937791632
AGNÉBY-TIASSA,1,-0.18624558290737858,0.36231091403721244
AGOTIME ZIOPE,1,-0.2130021081628588,0.29614507182836464
AGWARA,1,0.17952058760947393,0.3802044257625107
AINABKOI,1,-0.01495818834173181,0.9421842878181708
AINAMOI,1,0.07092718111006721,0.730615921622993
AJA,1,0.197340923134527,0.3338918986539813
AJAOKUTA,1,-0.18497757388999048,0.36564640283585403
AJINGI,1,0.015857742135407304,0.9387135993762791
AKATSI NORTH,1,-0.227226803005652,0.26428010538096314
AKATSI SOUTH,1,-0.2060568470247236,0.3125409063558653
AKHMIM,1,,
AKKO,1,0.16453177143124045,0.4218671401407459
AL RENK,1,-0.108921332409456,0.5963494615833798
AL-'AMRIYAH,1,0.12393741757832619,0.5463676965968642
AL-'AYYAT,1,-0.09385040341445436,0.6483767167922851
AL-'IDWAH,1,0.198513050690507,0.33097054159675926
AL-'USAYRAT,1,,
AL-BADARI,1,,
AL-BAJUR,1,0.06088703371331243,0.7676353808902617
AL-BALIYANA,1,,
AL-BURULUS,1,-0.17035125464285086,0.4054025710313067
AL-FASHN,1,0.198513050690507,0.33097054159675926
AL-FAYYUM,1,0.09354047384911467,0.6494648004713381
