date,day,district,month,pet_mm,precip_mm,year
2000-01-01,1,Chikankanta,1,-7.47305281703785,5.229734141536075,2000
2000-01-02,2,Chikankanta,1,-9.080426845092086,2.6898311054078072,2000
2000-01-03,3,Chikankanta,1,-6.587117965784571,8.775869770758918,2000
2000-01-04,4,Chikankanta,1,-7.855745555825573,0.2820186933980693,2000
2000-01-05,5,Chikankanta,1,-9.349703604521975,9.572820770688992,2000
2000-01-06,6,Chikankanta,1,-7.839307655373721,5.032133475067086,2000
2000-01-07,7,Chikankanta,1,-7.866290562368893,2.3603671254427554,2000
2000-01-08,8,Chikankanta,1,-8.04384823707526,4.252917708831299,2000
2000-01-09,9,Chikankanta,1,-4.209046068641732,9.503545750310533,2000
2000-01-10,10,Chikankanta,1,-5.385947226447341,7.49400257594439,2000
2000-01-11,11,Chikankanta,1,-8.621731810703338,1.133008640638795,2000
2000-01-12,12,Chikankanta,1,-6.486119241547917,12.150332830935172,2000
2000-01-13,13,Chikankanta,1,-3.591473621932894,26.564387506931727,2000
2000-01-14,14,Chikankanta,1,-2.922676090095028,12.27315689719949,2000
2000-01-15,15,Chikankanta,1,-4.7590511685297505,9.210199321295129,2000
2000-01-16,16,Chikankanta,1,-5.315532758071845,22.458726443271747,2000
2000-01-17,17,Chikankanta,1,-8.01542814104033,-999.0,2000
2000-01-18,18,Chikankanta,1,-6.27629393069117,12.31560854668646,2000
2000-01-19,19,Chikankanta,1,-1.851178780417118,0.9580693653769398,2000
2000-01-20,20,Chikankanta,1,-6.815173414706687,1.3754192432660732,2000
2000-01-21,21,Chikankanta,1,-7.486606988499942,0.0749453263542419,2000
2000-01-22,22,Chikankanta,1,-7.310802481917803,-999.0,2000
2000-01-23,23,Chikankanta,1,-8.241046122793051,0.2943526230501325,2000
2000-01-24,24,Chikankanta,1,-8.033823717295988,2.11637861541148,2000
2000-01-25,25,Chikankanta,1,-6.819077947963055,22.959505371977365,2000
2000-01-26,26,Chikankanta,1,-5.808457232317295,1.3463470178322228,2000
2000-01-27,27,Chikankanta,1,-5.809640766643394,5.22603315087156,2000
2000-01-28,28,Chikankanta,1,-5.846946929104287,5.557033485570856,2000
2000-01-29,29,Chikankanta,1,-5.8521796304545095,5.562696998698399,2000
2000-01-30,30,Chikankanta,1,-6.866760197630725,4.541231018856052,2000
2000-01-31,31,Chikankanta,1,-7.979784635612756,1.8341353440037444,2000
2000-02-01,1,Chikankanta,2,-5.697260223446308,0.1754425255718577,2000
2000-02-02,2,Chikankanta,2,-6.439746880735387,1.1161882410816006,2000
2000-02-03,3,Chikankanta,2,-6.748222829859374,4.901731676878142,2000
2000-02-04,4,Chikankanta,2,-4.019868492657557,1.3368122865541698,2000
