lst_celsius,date,day,district,month,year
-999.0,2000-02-24,24,Chikankanta,2,2000
-999.0,2000-02-25,25,Chikankanta,2,2000
26.34701127633963,2000-02-26,26,Chikankanta,2,2000
-999.0,2000-02-27,27,Chikankanta,2,2000
-999.0,2000-02-28,28,Chikankanta,2,2000
-999.0,2000-02-29,29,Chikankanta,2,2000
-999.0,2000-03-01,1,Chikankanta,3,2000
-999.0,2000-03-02,2,Chikankanta,3,2000
-999.0,2000-03-03,3,Chikankanta,3,2000
27.504976884206087,2000-03-04,4,Chikankanta,3,2000
-999.0,2000-03-05,5,Chikankanta,3,2000
-999.0,2000-03-06,6,Chikankanta,3,2000
-999.0,2000-03-07,7,Chikankanta,3,2000
-999.0,2000-03-08,8,Chikankanta,3,2000
-999.0,2000-03-09,9,Chikankanta,3,2000
-999.0,2000-03-10,10,Chikankanta,3,2000
-999.0,2000-03-11,11,Chikankanta,3,2000
-999.0,2000-03-12,12,Chikankanta,3,2000
-999.0,2000-03-13,13,Chikankanta,3,2000
-999.0,2000-03-14,14,Chikankanta,3,2000
-999.0,2000-03-15,15,Chikankanta,3,2000
-999.0,2000-03-16,16,Chikankanta,3,2000
28.063182117240217,2000-03-17,17,Chikankanta,3,2000
-999.0,2000-03-18,18,Chikankanta,3,2000
-999.0,2000-03-19,19,Chikankanta,3,2000
-999.0,2000-03-20,20,Chikankanta,3,2000
-999.0,2000-03-21,21,Chikankanta,3,2000
-999.0,2000-03-22,22,Chikankanta,3,2000
24.796719495894536,2000-03-23,23,Chikankanta,3,2000
-999.0,2000-03-24,24,Chikankanta,3,2000
25.668893482969168,2000-03-25,25,Chikankanta,3,2000
-999.0,2000-03-26,26,Chikankanta,3,2000
26.03813134296297,2000-03-27,27,Chikankanta,3,2000
-999.0,2000-03-28,28,Chikankanta,3,2000
27.643998694366644,2000-03-29,29,Chikankanta,3,2000
-999.0,2000-03-30,30,Chikankanta,3,2000
27.043956080822795,2000-03-31,31,Chikankanta,3,2000
25.28548926882507,2000-04-01,1,Chikankanta,4,2000
-999.0,2000-04-02,2,Chikankanta,4,2000
27.17480222841232,2000-04-03,3,Chikankanta,4,2000
25.645300346777844,2000-04-04,4,Chikankanta,4,2000
28.921129468995105,2000-04-05,5,Chikankanta,4,2000
-999.0,2000-04-06,6,Chikankanta,4,2000
26.19132907348245,2000-04-07,7,Chikankanta,4,2000
-999.0,2000-04-08,8,Chikankanta,4,2000
-999.0,2000-04-09,9,Chikankanta,4,2000
25.14035564472005,2000-04-10,10,Chikankanta,4,2000
-999.0,2000-04-11,11,Chikankanta,4,2000
25.16746814375631,2000-04-12,12,Chikankanta,4,2000
-999.0,2000-04-13,13,Chikankanta,4,2000
26.701531151003167,2000-04-14,14,Chikankanta,4,2000
-999.0,2000-04-15,15,Chikankanta,4,2000
-999.0,2000-04-16,16,Chikankanta,4,2000
25.52210374134762,2000-04-17,17,Chikankanta,4,2000
-999.0,2000-04-18,18,Chikankanta,4,2000
-999.0,2000-04-19,19,Chikankanta,4,2000
-999.0,2000-04-20,20,Chikankanta,4,2000
27.390903379522115,2000-04-21,21,Chikankanta,4,2000
-999.0,2000-04-22,22,Chikankanta,4,2000
28.43752836867685,2000-04-23,23,Chikankanta,4,2000
27.595100072382877,2000-04-24,24,Chikankanta,4,2000
27.31884852169935,2000-04-25,25,Chikankanta,4,2000
-999.0,2000-04-28,28,Chikankanta,4,2000
-999.0,2000-04-29,29,Chikankanta,4,2000
-999.0,2000-04-30,30,Chikankanta,4,2000
24.031806461673455,2000-05-01,1,Chikankanta,5,2000
26.831920212332705,2000-05-02,2,Chikankanta,5,2000
27.81601265160413,2000-05-03,3,Chikankanta,5,2000
27.580072444387156,2000-05-04,4,Chikankanta,5,2000
-999.0,2000-05-05,5,Chikankanta,5,2000
-999.0,2000-05-06,6,Chikankanta,5,2000
23.49000000000001,2000-05-07,7,Chikankanta,5,2000
-999.0,2000-05-08,8,Chikankanta,5,2000
-999.0,2000-05-09,9,Chikankanta,5,2000
-999.0,2000-05-10,10,Chikankanta,5,2000
-999.0,2000-05-11,11,Chikankanta,5,2000
-999.0,2000-05-12,12,Chikankanta,5,2000
-999.0,2000-05-13,13,Chikankanta,5,2000
21.747884435189977,2000-05-14,14,Chikankanta,5,2000
-999.0,2000-05-15,15,Chikankanta,5,2000
17.026597984659418,2000-05-16,16,Chikankanta,5,2000
22.161771723158893,2000-05-17,17,Chikankanta,5,2000
25.37159718692743,2000-05-18,18,Chikankanta,5,2000
-999.0,2000-05-19,19,Chikankanta,5,2000
-999.0,2000-05-20,20,Chikankanta,5,2000
24.703515560632923,2000-05-21,21,Chikankanta,5,2000
22.197871052327,2000-05-22,22,Chikankanta,5,2000
23.75292770554023,2000-05-23,23,Chikankanta,5,2000
25.16731265988642,2000-05-24,24,Chikankanta,5,2000
27.124640365361586,2000-05-25,25,Chikankanta,5,2000
27.53294521015783,2000-05-26,26,Chikankanta,5,2000
28.720654267009422,2000-05-27,27,Chikankanta,5,2000
29.57807387936515,2000-05-28,28,Chikankanta,5,2000
-999.0,2000-05-29,29,Chikankanta,5,2000
27.792364966219623,2000-05-30,30,Chikankanta,5,2000
-999.0,2000-05-31,31,Chikankanta,5,2000
25.75069800323854,2000-06-01,1,Chikankanta,6,2000
22.9087956199063,2000-06-02,2,Chikankanta,6,2000
23.743112907941452,2000-06-03,3,Chikankanta,6,2000
25.07837587248673,2000-06-04,4,Chikankanta,6,2000
-999.0,2000-06-05,5,Chikankanta,6,2000
-999.0,2000-06-06,6,Chikankanta,6,2000
-999.0,2000-06-07,7,Chikankanta,6,2000
25.6156206407922,2000-06-08,8,Chikankanta,6,2000
23.29961393234197,2000-06-09,9,Chikankanta,6,2000
25.300119172752034,2000-06-10,10,Chikankanta,6,2000
-999.0,2000-06-11,11,Chikankanta,6,2000
24.39229455749421,2000-06-12,12,Chikankanta,6,2000
25.36253752112117,2000-06-13,13,Chikankanta,6,2000
23.35305232514645,2000-06-14,14,Chikankanta,6,2000
25.217682758620697,2000-06-15,15,Chikankanta,6,2000
-999.0,2000-06-16,16,Chikankanta,6,2000
26.223154719558465,2000-06-17,17,Chikankanta,6,2000
23.64980385826135,2000-06-18,18,Chikankanta,6,2000
23.93704440026511,2000-06-19,19,Chikankanta,6,2000
-999.0,2000-06-20,20,Chikankanta,6,2000
22.28369806375298,2000-06-21,21,Chikankanta,6,2000
26.11677480767571,2000-06-22,22,Chikankanta,6,2000
23.39468583599586,2000-06-23,23,Chikankanta,6,2000
27.42306009858254,2000-06-24,24,Chikankanta,6,2000
24.66667107246377,2000-06-25,25,Chikankanta,6,2000
25.057412346246508,2000-06-26,26,Chikankanta,6,2000
-999.0,2000-06-27,27,Chikankanta,6,2000
22.601278094222774,2000-06-28,28,Chikankanta,6,2000
24.06614218425676,2000-06-29,29,Chikankanta,6,2000
22.138812632358057,2000-06-30,30,Chikankanta,6,2000
23.86341129602266,2000-07-01,1,Chikankanta,7,2000
-999.0,2000-07-02,2,Chikankanta,7,2000
25.29000000000002,2000-07-03,3,Chikankanta,7,2000
22.134099766173108,2000-07-04,4,Chikankanta,7,2000
22.268503326068867,2000-07-05,5,Chikankanta,7,2000
22.851999665881067,2000-07-06,6,Chikankanta,7,2000
21.655803898957288,2000-07-07,7,Chikankanta,7,2000
23.979015990942287,2000-07-08,8,Chikankanta,7,2000
20.805268377437187,2000-07-09,9,Chikankanta,7,2000
25.618087636541247,2000-07-10,10,Chikankanta,7,2000
24.892464542651624,2000-07-11,11,Chikankanta,7,2000
25.11352905856154,2000-07-12,12,Chikankanta,7,2000
23.08215048262224,2000-07-13,13,Chikankanta,7,2000
25.29009128129428,2000-07-14,14,Chikankanta,7,2000
28.235182682191464,2000-07-15,15,Chikankanta,7,2000
28.29327028063227,2000-07-16,16,Chikankanta,7,2000
26.970406816516856,2000-07-17,17,Chikankanta,7,2000
-999.0,2000-07-18,18,Chikankanta,7,2000
28.367370053606297,2000-07-19,19,Chikankanta,7,2000
29.983856413595618,2000-07-20,20,Chikankanta,7,2000
28.678192902077683,2000-07-21,21,Chikankanta,7,2000
26.97984249450559,2000-07-22,22,Chikankanta,7,2000
25.19829594413909,2000-07-23,23,Chikankanta,7,2000
25.906772249165783,2000-07-24,24,Chikankanta,7,2000
-999.0,2000-07-25,25,Chikankanta,7,2000
26.369791518240845,2000-07-26,26,Chikankanta,7,2000
-999.0,2000-07-27,27,Chikankanta,7,2000
24.733036884040075,2000-07-28,28,Chikankanta,7,2000
25.640735839622153,2000-07-29,29,Chikankanta,7,2000
25.779584811097777,2000-07-30,30,Chikankanta,7,2000
27.663575647987894,2000-07-31,31,Chikankanta,7,2000
25.73971966621093,2000-08-01,1,Chikankanta,8,2000
26.713896655158862,2000-08-02,2,Chikankanta,8,2000
-999.0,2000-08-03,3,Chikankanta,8,2000
29.707072626397064,2000-08-04,4,Chikankanta,8,2000
27.977611817770025,2000-08-05,5,Chikankanta,8,2000
-999.0,2000-08-18,18,Chikankanta,8,2000
-999.0,2000-08-19,19,Chikankanta,8,2000
30.0237486794108,2000-08-20,20,Chikankanta,8,2000
28.736521828528794,2000-08-21,21,Chikankanta,8,2000
24.212528152427694,2000-08-22,22,Chikankanta,8,2000
31.23136033750177,2000-08-23,23,Chikankanta,8,2000
29.588771788550616,2000-08-24,24,Chikankanta,8,2000
32.62697329558023,2000-08-25,25,Chikankanta,8,2000
27.615537373396705,2000-08-26,26,Chikankanta,8,2000
32.40410326329112,2000-08-27,27,Chikankanta,8,2000
-999.0,2000-08-28,28,Chikankanta,8,2000
33.8595052152981,2000-08-29,29,Chikankanta,8,2000
35.3290730490599,2000-08-30,30,Chikankanta,8,2000
36.8371928090512,2000-08-31,31,Chikankanta,8,2000
37.79703085572737,2000-09-01,1,Chikankanta,9,2000
32.37186139437364,2000-09-02,2,Chikankanta,9,2000
33.5795658803753,2000-09-03,3,Chikankanta,9,2000
-999.0,2000-09-04,4,Chikankanta,9,2000
32.259195813874214,2000-09-05,5,Chikankanta,9,2000
-999.0,2000-09-06,6,Chikankanta,9,2000
35.87495685896039,2000-09-07,7,Chikankanta,9,2000
34.115800638394205,2000-09-08,8,Chikankanta,9,2000
